bill_depth_mm,body_mass_g,species
18.7,3750,Adelie
17.4,3800,Adelie
18,3250,Adelie
19.3,3450,Adelie
20.6,3650,Adelie
17.8,3625,Adelie
19.6,4675,Adelie
18.1,3475,Adelie
20.2,4250,Adelie
17.1,3300,Adelie
17.3,3700,Adelie
17.6,3200,Adelie
21.2,3800,Adelie
21.1,4400,Adelie
17.8,3700,Adelie
19,3450,Adelie
20.7,4500,Adelie
18.4,3325,Adelie
21.5,4200,Adelie
18.3,3400,Adelie
18.7,3600,Adelie
19.2,3800,Adelie
18.1,3950,Adelie
17.2,3800,Adelie
18.9,3800,Adelie
18.6,3550,Adelie
17.9,3200,Adelie
18.6,3150,Adelie
18.9,3950,Adelie
16.7,3250,Adelie
18.1,3900,Adelie
17.8,3300,Adelie
18.9,3900,Adelie
17,3325,Adelie
21.1,4150,Adelie
20,3950,Adelie
18.5,3550,Adelie
19.3,3300,Adelie
19.1,4650,Adelie
18,3150,Adelie
18.4,3900,Adelie
18.5,3100,Adelie
19.7,4400,Adelie
16.9,3000,Adelie
18.8,4600,Adelie
19,3425,Adelie
18.9,2975,Adelie
17.9,3450,Adelie
21.2,4150,Adelie
17.7,3500,Adelie
18.9,4300,Adelie
17.9,3450,Adelie
19.5,4050,Adelie
18.1,2900,Adelie
18.6,3700,Adelie
17.5,3550,Adelie
18.8,3800,Adelie
16.6,2850,Adelie
19.1,3750,Adelie
16.9,3150,Adelie
21.1,4400,Adelie
17,3600,Adelie
18.2,4050,Adelie
17.1,2850,Adelie
18,3950,Adelie
16.2,3350,Adelie
19.1,4100,Adelie
16.6,3050,Adelie
19.4,4450,Adelie
19,3600,Adelie
18.4,3900,Adelie
17.2,3550,Adelie
18.9,4150,Adelie
17.5,3700,Adelie
18.5,4250,Adelie
16.8,3700,Adelie
19.4,3900,Adelie
16.1,3550,Adelie
19.1,4000,Adelie
17.2,3200,Adelie
17.6,4700,Adelie
18.8,3800,Adelie
19.4,4200,Adelie
17.8,3350,Adelie
20.3,3550,Adelie
19.5,3800,Adelie
18.6,3500,Adelie
19.2,3950,Adelie
18.8,3600,Adelie
18,3550,Adelie
18.1,4300,Adelie
17.1,3400,Adelie
18.1,4450,Adelie
17.3,3300,Adelie
18.9,4300,Adelie
18.6,3700,Adelie
18.5,4350,Adelie
16.1,2900,Adelie
18.5,4100,Adelie
17.9,3725,Adelie
20,4725,Adelie
16,3075,Adelie
20,4250,Adelie
18.6,2925,Adelie
18.9,3550,Adelie
17.2,3750,Adelie
20,3900,Adelie
17,3175,Adelie
19,4775,Adelie
16.5,3825,Adelie
20.3,4600,Adelie
17.7,3200,Adelie
19.5,4275,Adelie
20.7,3900,Adelie
18.3,4075,Adelie
17,2900,Adelie
20.5,3775,Adelie
17,3350,Adelie
18.6,3325,Adelie
17.2,3150,Adelie
19.8,3500,Adelie
17,3450,Adelie
18.5,3875,Adelie
15.9,3050,Adelie
19,4000,Adelie
17.6,3275,Adelie
18.3,4300,Adelie
17.1,3050,Adelie
18,4000,Adelie
17.9,3325,Adelie
19.2,3500,Adelie
18.5,3500,Adelie
18.5,4475,Adelie
17.6,3425,Adelie
17.5,3900,Adelie
17.5,3175,Adelie
20.1,3975,Adelie
16.5,3400,Adelie
17.9,4250,Adelie
17.1,3400,Adelie
17.2,3475,Adelie
15.5,3050,Adelie
17,3725,Adelie
16.8,3000,Adelie
18.7,3650,Adelie
18.6,4250,Adelie
18.4,3475,Adelie
17.8,3450,Adelie
18.1,3750,Adelie
17.1,3700,Adelie
18.5,4000,Adelie
13.2,4500,Gentoo
16.3,5700,Gentoo
14.1,4450,Gentoo
15.2,5700,Gentoo
14.5,5400,Gentoo
13.5,4550,Gentoo
14.6,4800,Gentoo
15.3,5200,Gentoo
13.4,4400,Gentoo
15.4,5150,Gentoo
13.7,4650,Gentoo
16.1,5550,Gentoo
13.7,4650,Gentoo
14.6,5850,Gentoo
14.6,4200,Gentoo
15.7,5850,Gentoo
13.5,4150,Gentoo
15.2,6300,Gentoo
14.5,4800,Gentoo
15.1,5350,Gentoo
14.3,5700,Gentoo
14.5,5000,Gentoo
14.5,4400,Gentoo
15.8,5050,Gentoo
13.1,5000,Gentoo
15.1,5100,Gentoo
14.3,4100,Gentoo
15,5650,Gentoo
14.3,4600,Gentoo
15.3,5550,Gentoo
15.3,5250,Gentoo
14.2,4700,Gentoo
14.5,5050,Gentoo
17,6050,Gentoo
14.8,5150,Gentoo
16.3,5400,Gentoo
13.7,4950,Gentoo
17.3,5250,Gentoo
13.6,4350,Gentoo
15.7,5350,Gentoo
13.7,3950,Gentoo
16,5700,Gentoo
13.7,4300,Gentoo
15,4750,Gentoo
15.9,5550,Gentoo
13.9,4900,Gentoo
13.9,4200,Gentoo
15.9,5400,Gentoo
13.3,5100,Gentoo
15.8,5300,Gentoo
14.2,4850,Gentoo
14.1,5300,Gentoo
14.4,4400,Gentoo
15,5000,Gentoo
14.4,4900,Gentoo
15.4,5050,Gentoo
13.9,4300,Gentoo
15,5000,Gentoo
14.5,4450,Gentoo
15.3,5550,Gentoo
13.8,4200,Gentoo
14.9,5300,Gentoo
13.9,4400,Gentoo
15.7,5650,Gentoo
14.2,4700,Gentoo
16.8,5700,Gentoo
14.4,4650,Gentoo
16.2,5800,Gentoo
14.2,4700,Gentoo
15,5550,Gentoo
15,4750,Gentoo
15.6,5000,Gentoo
15.6,5100,Gentoo
14.8,5200,Gentoo
15,4700,Gentoo
16,5800,Gentoo
14.2,4600,Gentoo
16.3,6000,Gentoo
13.8,4750,Gentoo
16.4,5950,Gentoo
14.5,4625,Gentoo
15.6,5450,Gentoo
14.6,4725,Gentoo
15.9,5350,Gentoo
13.8,4750,Gentoo
17.3,5600,Gentoo
14.4,4600,Gentoo
14.2,5300,Gentoo
14,4875,Gentoo
17,5550,Gentoo
15,4950,Gentoo
17.1,5400,Gentoo
14.5,4750,Gentoo
16.1,5650,Gentoo
14.7,4850,Gentoo
15.7,5200,Gentoo
15.8,4925,Gentoo
14.6,4875,Gentoo
14.4,4625,Gentoo
16.5,5250,Gentoo
15,4850,Gentoo
17,5600,Gentoo
15.5,4975,Gentoo
15,5500,Gentoo
13.8,4725,Gentoo
16.1,5500,Gentoo
14.7,4700,Gentoo
15.8,5500,Gentoo
14,4575,Gentoo
15.1,5500,Gentoo
15.2,5000,Gentoo
15.9,5950,Gentoo
15.2,4650,Gentoo
16.3,5500,Gentoo
14.1,4375,Gentoo
16,5850,Gentoo
15.7,4875,Gentoo
16.2,6000,Gentoo
13.7,4925,Gentoo
14.3,4850,Gentoo
15.7,5750,Gentoo
14.8,5200,Gentoo
16.1,5400,Gentoo
17.9,3500,Chinstrap
19.5,3900,Chinstrap
19.2,3650,Chinstrap
18.7,3525,Chinstrap
19.8,3725,Chinstrap
17.8,3950,Chinstrap
18.2,3250,Chinstrap
18.2,3750,Chinstrap
18.9,4150,Chinstrap
19.9,3700,Chinstrap
17.8,3800,Chinstrap
20.3,3775,Chinstrap
17.3,3700,Chinstrap
18.1,4050,Chinstrap
17.1,3575,Chinstrap
19.6,4050,Chinstrap
20,3300,Chinstrap
17.8,3700,Chinstrap
18.6,3450,Chinstrap
18.2,4400,Chinstrap
17.3,3600,Chinstrap
17.5,3400,Chinstrap
16.6,2900,Chinstrap
19.4,3800,Chinstrap
17.9,3300,Chinstrap
19,4150,Chinstrap
18.4,3400,Chinstrap
19,3800,Chinstrap
17.8,3700,Chinstrap
20,4550,Chinstrap
16.6,3200,Chinstrap
20.8,4300,Chinstrap
16.7,3350,Chinstrap
18.8,4100,Chinstrap
18.6,3600,Chinstrap
16.8,3900,Chinstrap
18.3,3850,Chinstrap
20.7,4800,Chinstrap
16.6,2700,Chinstrap
19.9,4500,Chinstrap
19.5,3950,Chinstrap
17.5,3650,Chinstrap
19.1,3550,Chinstrap
17,3500,Chinstrap
17.9,3675,Chinstrap
18.5,4450,Chinstrap
17.9,3400,Chinstrap
19.6,4300,Chinstrap
18.7,3250,Chinstrap
17.3,3675,Chinstrap
16.4,3325,Chinstrap
19,3950,Chinstrap
17.3,3600,Chinstrap
19.7,4050,Chinstrap
17.3,3350,Chinstrap
18.8,3450,Chinstrap
16.6,3250,Chinstrap
19.9,4050,Chinstrap
18.8,3800,Chinstrap
19.4,3525,Chinstrap
19.5,3950,Chinstrap
16.5,3650,Chinstrap
17,3650,Chinstrap
19.8,4000,Chinstrap
18.1,3400,Chinstrap
18.2,3775,Chinstrap
19,4100,Chinstrap
18.7,3775,Chinstrap
